epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
118,1105.86,1.26526,0.84567,1.16664,0.77997,0.65148,0.72977,0.39951,1.48659,0.97725,1.32882,0.0092278,0.0092278,0.0092278
119,1115.17,1.24315,0.83895,1.15817,0.80627,0.64454,0.73496,0.39785,1.49708,0.98014,1.32181,0.0092212,0.0092212,0.0092212
120,1124.38,1.25311,0.85123,1.16818,0.7927,0.65473,0.73186,0.40201,1.48637,0.97615,1.31808,0.0092146,0.0092146,0.0092146
121,1133.56,1.25415,0.84639,1.16651,0.77936,0.65193,0.7304,0.39611,1.49507,0.97672,1.31641,0.009208,0.009208,0.009208
122,1142.77,1.26128,0.83964,1.15615,0.79477,0.65599,0.73383,0.40109,1.48373,0.97305,1.31622,0.0092014,0.0092014,0.0092014
123,1151.99,1.27646,0.85923,1.17285,0.79896,0.65496,0.73378,0.39306,1.49649,0.97211,1.32462,0.0091948,0.0091948,0.0091948
124,1161.29,1.24537,0.84137,1.16397,0.79207,0.65591,0.73492,0.39719,1.49721,0.97261,1.32006,0.0091882,0.0091882,0.0091882
125,1170.49,1.2584,0.84033,1.16522,0.81373,0.64611,0.73787,0.40727,1.45838,0.95293,1.30167,0.0091816,0.0091816,0.0091816
126,1179.68,1.25651,0.83535,1.16179,0.78927,0.64497,0.73215,0.40634,1.47069,0.97435,1.30684,0.009175,0.009175,0.009175
127,1188.88,1.24926,0.83599,1.15282,0.78881,0.65792,0.74049,0.40626,1.46701,0.96331,1.3034,0.0091684,0.0091684,0.0091684
128,1198.09,1.254,0.83938,1.15608,0.79412,0.65924,0.73988,0.40487,1.45854,0.95939,1.30463,0.0091618,0.0091618,0.0091618
129,1207.36,1.24189,0.83569,1.16037,0.79523,0.66641,0.73735,0.40175,1.4861,0.95439,1.31141,0.0091552,0.0091552,0.0091552
130,1216.58,1.23353,0.83074,1.15483,0.78549,0.65688,0.73566,0.40613,1.48067,0.96045,1.30608,0.0091486,0.0091486,0.0091486
131,1225.85,1.25432,0.83843,1.15602,0.79496,0.65745,0.73709,0.40283,1.48821,0.95792,1.31622,0.009142,0.009142,0.009142
132,1235.1,1.23399,0.83719,1.1592,0.79427,0.66543,0.74136,0.39978,1.49357,0.96609,1.31487,0.0091354,0.0091354,0.0091354
133,1244.34,1.24122,0.83528,1.15735,0.81253,0.65117,0.74311,0.40675,1.46154,0.95485,1.29591,0.0091288,0.0091288,0.0091288
134,1253.61,1.23948,0.82766,1.15256,0.79289,0.64394,0.73219,0.40444,1.46841,0.9638,1.30032,0.0091222,0.0091222,0.0091222
135,1262.84,1.23141,0.83596,1.15123,0.78997,0.66356,0.73938,0.40519,1.45752,0.95759,1.29104,0.0091156,0.0091156,0.0091156
136,1272.05,1.24676,0.8315,1.15153,0.78376,0.6628,0.74253,0.40342,1.46381,0.97369,1.29614,0.009109,0.009109,0.009109
137,1281.28,1.24732,0.83381,1.15589,0.79113,0.65554,0.73416,0.40555,1.46303,0.96078,1.30605,0.0091024,0.0091024,0.0091024
138,1290.49,1.22029,0.8226,1.15087,0.78126,0.66022,0.73306,0.3994,1.46135,0.96473,1.29526,0.0090958,0.0090958,0.0090958
139,1299.78,1.23989,0.83256,1.14912,0.78863,0.65354,0.73512,0.40699,1.45673,0.95062,1.29657,0.0090892,0.0090892,0.0090892
140,1309,1.23523,0.83028,1.15232,0.80334,0.65741,0.73794,0.39711,1.48283,0.94191,1.2985,0.0090826,0.0090826,0.0090826
141,1318.19,1.23596,0.82486,1.14704,0.79698,0.66223,0.74024,0.41269,1.44784,0.93969,1.28462,0.009076,0.009076,0.009076
142,1327.43,1.22191,0.82056,1.14483,0.80419,0.65371,0.74332,0.40678,1.46239,0.95092,1.29051,0.0090694,0.0090694,0.0090694
143,1336.62,1.25421,0.83619,1.15428,0.79316,0.66129,0.7444,0.40911,1.46418,0.94392,1.29551,0.0090628,0.0090628,0.0090628
144,1345.92,1.23803,0.8283,1.14889,0.80076,0.65919,0.7427,0.4083,1.4693,0.93905,1.30129,0.0090562,0.0090562,0.0090562
145,1355.18,1.24259,0.83191,1.14851,0.79261,0.66478,0.74386,0.41427,1.44091,0.94854,1.28258,0.0090496,0.0090496,0.0090496
146,1364.36,1.23074,0.82538,1.14725,0.80193,0.66827,0.74349,0.40877,1.4732,0.93373,1.30003,0.009043,0.009043,0.009043
147,1373.6,1.22329,0.82186,1.14277,0.81068,0.66349,0.74675,0.41102,1.45593,0.94177,1.28662,0.0090364,0.0090364,0.0090364
148,1382.79,1.23832,0.82787,1.14578,0.8011,0.65953,0.74226,0.41459,1.45918,0.94627,1.29096,0.0090298,0.0090298,0.0090298
149,1392.09,1.22916,0.82443,1.1497,0.80989,0.65876,0.74784,0.42228,1.43389,0.93117,1.28614,0.0090232,0.0090232,0.0090232
150,1401.28,1.2164,0.81762,1.14061,0.79769,0.66837,0.744,0.405,1.47491,0.94267,1.29751,0.0090166,0.0090166,0.0090166
