epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
110,1729.59,1.1477,0.79117,1.26671,0.85285,0.723,0.81431,0.47456,1.41161,0.95908,1.43553,0.0092806,0.0092806,0.0092806
111,1744.48,1.15641,0.77667,1.25471,0.83568,0.72225,0.80683,0.46801,1.4308,0.98702,1.44016,0.009274,0.009274,0.009274
112,1762.02,1.15488,0.77916,1.2581,0.8395,0.72724,0.81132,0.47646,1.38907,0.94294,1.42302,0.0092674,0.0092674,0.0092674
113,1778.53,1.17772,0.784,1.25054,0.83268,0.70355,0.80152,0.47009,1.41624,0.98285,1.4343,0.0092608,0.0092608,0.0092608
114,1792.39,1.15015,0.77296,1.25116,0.85686,0.70487,0.80737,0.48247,1.39237,0.95776,1.41987,0.0092542,0.0092542,0.0092542
115,1808.43,1.14281,0.77501,1.25267,0.8216,0.71693,0.79676,0.45754,1.42116,1.0131,1.4342,0.0092476,0.0092476,0.0092476
116,1823.07,1.15511,0.77553,1.2663,0.84498,0.70547,0.802,0.45728,1.46761,0.95776,1.45004,0.009241,0.009241,0.009241
117,1839.92,1.15124,0.78382,1.25542,0.84939,0.71553,0.80859,0.47212,1.41697,0.96205,1.43563,0.0092344,0.0092344,0.0092344
118,1855.36,1.16382,0.77832,1.25589,0.85058,0.71288,0.80969,0.47786,1.39248,0.95008,1.41487,0.0092278,0.0092278,0.0092278
119,1870.89,1.1475,0.75967,1.2363,0.84081,0.72957,0.81705,0.47906,1.40019,0.94007,1.42348,0.0092212,0.0092212,0.0092212
120,1887.25,1.15652,0.77434,1.24017,0.84686,0.72922,0.81712,0.48184,1.3817,0.92947,1.40017,0.0092146,0.0092146,0.0092146
121,1901.41,1.12539,0.75152,1.22958,0.84022,0.71407,0.80697,0.47785,1.38642,0.93678,1.41018,0.009208,0.009208,0.009208
122,1918.04,1.15513,0.76868,1.23826,0.84689,0.72106,0.81005,0.47704,1.4074,0.9408,1.4296,0.0092014,0.0092014,0.0092014
